1.061009227150981715e+01 2.352193047312975960e-01
1.190471933048065623e+01 1.920750221066729324e-01
1.335731478208460743e+01 1.556921909372279700e-01
1.498715368541933657e+01 1.284178328746403697e-01
1.681586301250018067e+01 1.033399814889401913e-01
1.886770862503901469e+01 8.210350681073719237e-02
2.116991726768609894e+01 6.510518542162135880e-02
2.375303785038959603e+01 5.091319090051116270e-02
2.665134681387016258e+01 3.562372306651306886e-02
2.990330295716416487e+01 2.713602053930030955e-02
3.355205776252066840e+01 1.992359183482372842e-02
3.764602798935364092e+01 1.571678496915129841e-02
4.223953813522301459e+01 1.050819428411364775e-02
4.739354128891177709e+01 8.806801342259529264e-03
5.317642794088108360e+01 4.124720269216064494e-03
5.966493348352712189e+01 3.834303905388081191e-03
6.694515644321657533e+01 2.834106014517612238e-03
7.511370095542096692e+01 9.948747209691521931e-04
8.427895864290135819e+01 8.042759682291844570e-04
9.456254690668728813e+01 1.056935509520462446e-03
