1.061009227150981715e+01 5.110464466059383426e-02
1.190471933048065623e+01 5.133611930124870604e-02
1.335731478208460743e+01 2.930110315886036432e-02
1.498715368541933657e+01 2.504808109420775253e-02
1.681586301250018067e+01 2.912864686729998986e-02
1.886770862503901469e+01 2.231412766721341256e-02
2.116991726768609894e+01 1.653267163803784356e-02
2.375303785038959603e+01 1.438446752716560084e-02
2.665134681387016258e+01 8.696502158372476643e-03
2.990330295716416487e+01 7.720812009751831795e-03
3.355205776252066840e+01 4.010714544844473650e-03
3.764602798935364092e+01 3.924211274995981213e-03
4.223953813522301459e+01 2.827789503909494684e-03
4.739354128891177709e+01 2.441189700241208627e-03
5.317642794088108360e+01 1.528579833013354872e-03
5.966493348352712189e+01 8.780416072464714006e-04
6.694515644321657533e+01 7.497999011552014537e-04
7.511370095542096692e+01 3.091618026562770183e-05
8.427895864290135819e+01 8.756710440693815656e-05
9.456254690668728813e+01 -1.580645618157738852e-04
